Model,Accuracy,Precision,Recall,F1,Time
LightGBM,0.8385964912280702,0.841416584520209,0.8385964912280702,0.8379468010766444,39.768474102020264
XGBoost,0.8157894736842105,0.8189616157972073,0.8157894736842105,0.8144107313346511,190.6686565876007
Logistic Regression,0.8078947368421052,0.8081672133913158,0.8078947368421052,0.8064252537879006,3.902313470840454
Gradient Boosting,0.7929824561403509,0.803169854647909,0.7929824561403509,0.7909977227233783,615.7968091964722
Random Forest,0.7912280701754386,0.7995389749067985,0.7912280701754386,0.7887683350303211,18.61156439781189
Voting Ensemble,0.7903508771929825,0.7883883265546944,0.7903508771929825,0.788733133551247,4.933139801025391
Naive Bayes,0.7736842105263158,0.7728554999544704,0.7736842105263158,0.7730227775234226,0.011614084243774414
Decision Tree,0.7280701754385965,0.7318095450668438,0.7280701754385965,0.7285416783688825,36.79515814781189
KNN (k=5),0.3649122807017544,0.6155076321097703,0.3649122807017544,0.3187361863808363,0.06313824653625488
